result	result_sigma	m	seed	weeks	trials	mean	sigma	error	p1	p2	p3	p4	p5
0.10722092	0.00025326757	7	1	30000000	25	-1	1	16	0.5347630010785354	1.9738814126886406	0.011087517275857453
2.5690583	0.0043152766	1	1	15000000	25	-0.06	1	16	0.004455852491144182	20.98200488481838	0.05666359441812584	1.957949280572692	1.8560590209924905
2.8656941	0.006344048	1	1	15000000	25	-0.06	1	22	-0.26344469059818737	15.158719361576537	0.06014059716808226	0.9984624548716075	2.107789378711474
3.1700216	0.010829486	1	1	30000000	25	-0.06	1	32	0.21522343990914483	20.61125077684522	0.05815521073056659	1.0120495150457736	2.244361644899944
1.115777	0.00046930141	1	1	10000000	25	-0.06	1	4	2.0585833977129866	15.726373521033693	0.10532571215918418	1.281847339147511	1.650556062306796
1.8409808	0.0012685022	1	1	10000000	25	-0.06	1	8	0.08336013100096115	14.733614823189935	0.056763347450381654	1.4097453219082587	2.1041197093651607
1.2841166	0.0015152126	1	1	30000000	25	-0.15	1	16	0.22488043567696708	19.87952582540118	0.13847681722828792	1.08873828845423	2.365669592906445
1.3652648	0.0030723788	1	1	10000000	25	-0.15	1	22	0.1310460762102569	13.82923978009659	0.1352882152663368	1.0983681270509749	2.1612714086714613
1.4343223	0.003229695	1	1	10000000	25	-0.15	1	32	0.2369530127798266	17.105015709603506	0.13108137022577376	0.9886577112755202	2.500821677231894
0.76431746	0.00028762913	1	1	10000000	25	-0.15	1	4	0.27396609465590616	5.937553605647578	0.1238194631046802	1.8180115201325973	2.5754399203528395
1.055514	0.00061883412	1	1	10000000	25	-0.15	1	8	0.24114228241793684	18.306383904578	0.1365577148560701	1.0003159290648758	2.0975736432815797
1.7925687	0.0031426123	1	1	15000000	25	-0.1	1	16	0.06730658608225366	15.66433255461735	0.0947857682288385	0.9650643479488291	2.455966650412065
0.53140784	0.00012701442	1	1	10000000	25	-0.1	1	2	1.6958239999999996	12.581919999999997	0.582384	1.073183999999999	1.5892480000000004
1.9327692	0.0038635221	1	1	15000000	25	-0.1	1	22	0.18487618808065878	20.85242560552652	0.1046163395211697	0.9983903592985266	1.8904689810632749
2.0690833	0.005304964	1	1	15000000	25	-0.1	1	32	0.3117427649203234	13.687809782352394	0.11271705025509131	0.9951780858680195	2.8300816387820023
0.87836555	0.00040717517	1	1	10000000	25	-0.1	1	4	2.0063342912741025	15.34236977955117	0.1090852658770527	1.2943372736833538	1.618230908496443
